wet,1,Wet cardboard can cause an entire batch of recycling to be thrown away. Make sure to compost it!,
greasy,1,Greasy cardboard can cause an entire batch of recycling to be thrown away. Make sure to compost it!, 
soiled,1,Food ridden cardboard can cause an entire batch of recycling to be thrown away. Make sure to compost it!,
plastic,2,Plastic and cardboard when in one object cannot be recycled due to their different recycling processes!,
metal,2,Metal and cardboard when in one object cannot be recycled due to their different recycling processes!,
